"datename","date2007"
"District of Columbia",932.219576260643
"Hawaii",463.453945886598
"Oregon",479.176263585628
"New York",NA
"Nevada",342.575172694832
"California",385.844980964267
"Washington",366.973888329998
"Colorado",301.350112055636
"Massachusetts",235.987547121067
"Alaska",243.150471937
"Florida",264.595290689322
"Vermont",166.160425884423
"Maine",199.302065020221
"Georgia",214.497609333
"Nebraska",199.188466361632
"Arizona",242.920177186103
"Louisiana",127.68830480644
"Maryland",171.092448742014
"Michigan",281.932758414365
"Montana",120.710575925903
"Tennessee",184.109555203797
"New Mexico",153.658995268934
"Wyoming",102.742281414361
"New Jersey",199.891960900421
"Minnesota",141.820896649692
"Kentucky",191.053410342481
"North Dakota",97.9332390956882
"Texas",170.328404877142
"Missouri",106.919672809028
"North Carolina",132.349923238839
"New Hampshire",171.81434573357
"Idaho",119.087418608277
"Connecticut",127.421491644539
"Rhode Island",129.05701836899
"Pennsylvania",129.647890875802
"Oklahoma",117.442801933174
"Utah",119.223585600832
"West Virginia",131.789714165671
"South Carolina",129.880649779582
"Arkansas",135.943476431916
"Delaware",123.477192214769
"Illinois",122.485409035385
"Alabama",117.779701407286
"Ohio",98.1081005987782
"Wisconsin",101.261193099968
"Virginia",127.004811874285
"Iowa",91.6636380339055
"Indiana",116.191135206972
"South Dakota",73.9432437713353
"Kansas",76.4043691282917
"Mississippi",47.4013916800747
